Delta_Value,Theta_Value,Alpha_Value,Beta_Value,Gamma_Value,SD_Delta_Value,SD_Theta_Value,SD_Alpha_Value,SD_Beta_Value,SD_Gamma_Value,Label
0.399254,0.323047,0.372659,1.166464,0.699974,0.31549,0.213337,0.221794,0.772741,0.489024,High Stress
0.254224,0.139276,0.113722,0.320969,0.133784,0.2833,0.137585,0.080102,0.253125,0.085738,Mid Stress
0.305349,0.265436,0.360544,0.950516,0.50448,0.288728,0.208584,0.27133,0.866772,0.512613,Not Stress
0.193305,0.254465,0.320992,1.083855,0.643892,0.110406,0.161309,0.221517,0.799043,0.525371,High Stress
0.073576,0.081945,0.102373,0.350984,0.192619,0.043102,0.048705,0.056584,0.228762,0.12788,Mid Stress
0.160438,0.155163,0.168476,0.527563,0.301091,0.020481,0.032909,0.046332,0.206342,0.12907,Not Stress
0.454008,0.37042,0.337609,0.777589,0.354867,0.440315,0.339958,0.258873,0.432123,0.158602,High Stress
0.200404,0.158914,0.16631,0.444004,0.238307,0.180428,0.120805,0.110144,0.237154,0.119858,Mid Stress
0.139572,0.094296,0.067606,0.231002,0.128954,0.088838,0.055122,0.016933,0.0885,0.056953,Not Stress
0.130681,0.168762,0.191195,0.576372,0.321219,0.045564,0.051456,0.061976,0.214172,0.138827,High Stress
0.044419,0.040042,0.058012,0.15987,0.094401,0.023474,0.016871,0.027319,0.072583,0.043231,Mid Stress
0.139887,0.119666,0.124417,0.390451,0.267049,0.03217,0.02404,0.047532,0.181339,0.163198,Not Stress
0.165706,0.189559,0.232671,0.783455,0.464927,0.079391,0.097587,0.122128,0.423856,0.272138,High Stress
0.049093,0.061238,0.072507,0.226971,0.129414,0.013561,0.029925,0.036046,0.111785,0.061358,Mid Stress
0.120965,0.145284,0.162808,0.60647,0.390942,0.059349,0.074311,0.085466,0.354917,0.25062,Not Stress
0.463635,0.4979,0.489666,1.652596,0.944541,0.408507,0.40714,0.366896,1.395987,0.778743,High Stress
0.032965,0.032539,0.041907,0.13467,0.07967,0.006915,0.006141,0.005798,0.032842,0.014632,Mid Stress
0.383989,0.240507,0.229009,0.596283,0.31534,0.226512,0.096745,0.087449,0.239863,0.188248,Not Stress
0.173234,0.160746,0.167448,0.555745,0.310589,0.017122,0.019364,0.021986,0.072041,0.045813,High Stress
0.064932,0.055976,0.054969,0.21826,0.115871,0.022037,0.003898,0.011635,0.03179,0.016334,Mid Stress
0.226362,0.169854,0.130984,0.334303,0.16717,0.034519,0.035739,0.024501,0.076508,0.054232,Not Stress
0.134106,0.118633,0.112031,0.297872,0.147515,0.033842,0.034081,0.027439,0.076011,0.036907,High Stress
0.05339,0.036039,0.041814,0.09337,0.039731,0.01585,0.004793,0.013503,0.031,0.014367,Mid Stress
0.102974,0.105816,0.100466,0.277921,0.133665,0.030912,0.041265,0.037403,0.114013,0.060259,Not Stress
0.261623,0.306253,0.356665,1.206649,0.710223,0.164762,0.215453,0.267213,1.115012,0.736081,High Stress
0.093683,0.100568,0.114092,0.329141,0.184533,0.06197,0.06848,0.069321,0.200833,0.126798,Mid Stress
0.168579,0.145021,0.173062,0.56995,0.312142,0.061955,0.082274,0.11995,0.47626,0.283443,Not Stress
0.209742,0.209764,0.198156,0.625124,0.358199,0.12483,0.115527,0.102485,0.313821,0.18958,High Stress
0.065498,0.076985,0.064279,0.210318,0.122822,0.031941,0.034176,0.026541,0.092689,0.060738,Mid Stress
0.123082,0.12468,0.147326,0.50328,0.29966,0.079141,0.07781,0.096579,0.353976,0.233549,Not Stress
0.414372,0.486415,0.6475,2.306069,1.475818,0.260584,0.331447,0.44073,1.654325,1.136156,High Stress
0.108913,0.12367,0.154325,0.495049,0.31617,0.127982,0.151049,0.181722,0.583266,0.373733,Mid Stress
0.264479,0.294601,0.337565,1.254726,0.820472,0.176292,0.22839,0.293322,1.218398,0.834859,Not Stress
0.220725,0.24013,0.305645,0.866035,0.455414,0.10461,0.115832,0.169746,0.545603,0.324964,High Stress
0.086162,0.084882,0.094499,0.314661,0.193778,0.042703,0.048947,0.050793,0.178586,0.131091,Mid Stress
0.239695,0.171198,0.201684,0.408448,0.213429,0.12312,0.079202,0.103734,0.211689,0.151156,Not Stress
0.093484,0.124487,0.144001,0.404417,0.203482,0.002665,0.005599,0.005584,0.048613,0.03466,High Stress
0.028227,0.033569,0.038873,0.1198,0.063118,0.006645,0.006527,0.006688,0.028607,0.016049,Mid Stress
0.151655,0.132266,0.130887,0.318431,0.155248,0.022563,0.038911,0.050951,0.122246,0.067139,Not Stress
0.309209,0.36323,0.48207,1.728767,1.016944,0.230964,0.276951,0.370523,1.276253,0.777223,High Stress
0.090801,0.116662,0.174426,0.626238,0.342005,0.069675,0.094718,0.146654,0.534237,0.291969,Mid Stress
0.151128,0.155464,0.18832,0.718003,0.416961,0.06202,0.066751,0.090511,0.422514,0.258677,Not Stress
0.140678,0.125346,0.140709,0.44241,0.257349,0.043919,0.0363,0.045057,0.178135,0.120759,High Stress
0.050795,0.040741,0.042696,0.132163,0.092037,0.021494,0.017925,0.014636,0.067393,0.072806,Mid Stress
0.301739,0.212084,0.234033,0.511261,0.285367,0.332379,0.170162,0.159971,0.261579,0.13825,Not Stress
0.162885,0.206636,0.236586,0.729897,0.421349,0.09271,0.13346,0.171735,0.604386,0.381155,High Stress
0.044266,0.044534,0.05146,0.198021,0.103025,0.027982,0.027302,0.03415,0.137585,0.061522,Mid Stress
0.20091,0.182654,0.19969,0.695989,0.458099,0.072196,0.118687,0.169263,0.690942,0.532184,Not Stress
0.134983,0.153692,0.187014,0.623044,0.351766,0.065035,0.075551,0.100411,0.354825,0.21483,High Stress
0.245883,0.251451,0.280902,0.872737,0.501015,0.096839,0.119542,0.150042,0.515472,0.324009,Mid Stress
0.197206,0.184178,0.190972,0.568541,0.328238,0.069314,0.080152,0.100009,0.343083,0.224428,Not Stress
0.108655,0.09082,0.10495,0.315081,0.176532,0.03796,0.027485,0.036006,0.118926,0.070195,High Stress
0.02175,0.026735,0.029718,0.088249,0.05213,0.006639,0.007052,0.008304,0.02792,0.020118,Mid Stress
0.10282,0.091318,0.102434,0.2511,0.132509,0.048702,0.026014,0.045939,0.108658,0.064067,Not Stress
0.143604,0.179495,0.224586,0.684481,0.39248,0.096256,0.117943,0.164246,0.559239,0.346664,High Stress
0.03191,0.040474,0.049239,0.148341,0.08204,0.011147,0.017066,0.019167,0.059896,0.046511,Mid Stress
0.204047,0.221553,0.246492,0.775028,0.511777,0.128514,0.153945,0.199576,0.673938,0.521622,Not Stress
0.133806,0.153106,0.186225,0.617841,0.349809,0.005653,0.011978,0.014412,0.086652,0.054849,High Stress
0.057525,0.064489,0.078743,0.271924,0.130572,0.016898,0.010859,0.019153,0.048393,0.030151,Mid Stress
0.180906,0.11784,0.128747,0.354349,0.192879,0.024089,0.029811,0.047551,0.10923,0.069396,Not Stress
0.268458,0.347412,0.381414,1.07745,0.581529,0.120328,0.138576,0.177361,0.693276,0.409184,High Stress
0.048588,0.049884,0.06441,0.21579,0.129512,0.036584,0.034655,0.048063,0.143141,0.101993,Mid Stress
0.400144,0.335468,0.273325,0.873707,0.550836,0.160176,0.160884,0.14851,0.587223,0.440463,Not Stress
0.164992,0.181278,0.181154,0.514803,0.267106,0.054183,0.050248,0.041109,0.0781,0.047533,High Stress
0.041534,0.048508,0.061001,0.183958,0.104824,0.002746,0.002771,0.005855,0.020737,0.011422,Mid Stress
0.324892,0.275656,0.212315,0.464035,0.199351,0.157151,0.152024,0.110937,0.239587,0.090967,Not Stress
0.079932,0.088309,0.091549,0.305857,0.161591,0.015822,0.022073,0.021814,0.073782,0.04,High Stress
0.042542,0.036005,0.035425,0.113979,0.062322,0.011403,0.009639,0.009586,0.038072,0.013334,Mid Stress
0.125798,0.118538,0.128714,0.301148,0.142283,0.068943,0.058859,0.062096,0.136527,0.06305,Not Stress
0.088348,0.084257,0.097943,0.305944,0.176735,0.048301,0.036168,0.040436,0.126175,0.077823,High Stress
0.016481,0.017109,0.017454,0.059262,0.035546,0.00828,0.003546,0.010806,0.029209,0.014096,Mid Stress
0.120336,0.107114,0.118728,0.307728,0.152894,0.054876,0.049969,0.054548,0.136626,0.06767,Not Stress
0.140497,0.174928,0.240262,0.792994,0.468236,0.075822,0.091787,0.133351,0.438463,0.269447,High Stress
0.035049,0.050196,0.050832,0.199942,0.120798,0.01975,0.03144,0.029847,0.124855,0.073999,Mid Stress
0.104609,0.110536,0.124438,0.396019,0.225085,0.036167,0.041343,0.049742,0.187225,0.122528,Not Stress
0.163485,0.175818,0.202843,0.607406,0.348097,0.067518,0.057622,0.0877,0.257915,0.151487,High Stress
0.055858,0.038166,0.042306,0.120972,0.058763,0.017327,0.009063,0.012454,0.029698,0.012826,Mid Stress
0.089118,0.087589,0.107392,0.331295,0.198805,0.025374,0.035498,0.047459,0.183749,0.124126,Not Stress
0.214074,0.135749,0.133993,0.353056,0.174645,0.052009,0.044383,0.046347,0.133855,0.071728,High Stress
0.027578,0.027758,0.032459,0.07548,0.047708,0.005004,0.005194,0.004199,0.007516,0.006095,Mid Stress
0.205679,0.136063,0.15383,0.291783,0.134419,0.0316,0.024277,0.052688,0.082321,0.054916,Not Stress
0.207227,0.270209,0.284964,0.75698,0.388094,0.032379,0.057479,0.063865,0.188773,0.116082,High Stress
0.027744,0.036585,0.041903,0.14196,0.077433,0.009212,0.010811,0.01408,0.046276,0.025608,Mid Stress
0.22064,0.233139,0.232996,0.645205,0.37207,0.03446,0.053735,0.065423,0.30724,0.212512,Not Stress